id,time,工作計畫名稱,工作計畫編號,第一二級用途別科目名稱,第一二級用途別科目編號,科目編號,科目名稱,金額
201,106,,,設施及機械設備養護費,0284,3202010500,,
201,106,,,設施及機械設備養護費,0284,3202010800,,
201,106,,,設施及機械設備養護費,0284,3202019800,,
201,106,,,國內旅費,0291,total,total,1573.00
201,106,,,國內旅費,0291,3202010100,,715.00
201,106,,,國內旅費,0291,3202010600,,
201,106,,,國內旅費,0291,3202010200,,
201,106,,,國內旅費,0291,3202010300,,
201,106,,,國內旅費,0291,3202010401,,761.00
201,106,,,國內旅費,0291,3202010500,,97.00
201,106,,,國內旅費,0291,3202010800,,
201,106,,,國內旅費,0291,3202019800,,
201,106,,,國外旅費,0293,total,total,2005.00
201,106,,,國外旅費,0293,3202010100,,342.00
201,106,,,國外旅費,0293,3202010600,,
201,106,,,國外旅費,0293,3202010200,,
201,106,,,國外旅費,0293,3202010300,,
201,106,,,國外旅費,0293,3202010401,,1663.00
201,106,,,國外旅費,0293,3202010500,,
201,106,,,國外旅費,0293,3202010800,,
201,106,,,國外旅費,0293,3202019800,,
201,106,,,短程車資,0295,total,total,382.00
201,106,,,短程車資,0295,3202010100,,367.00
201,106,,,短程車資,0295,3202010600,,
201,106,,,短程車資,0295,3202010200,,
201,106,,,短程車資,0295,3202010300,,
201,106,,,短程車資,0295,3202010401,,15.00
201,106,,,短程車資,0295,3202010500,,
201,106,,,短程車資,0295,3202010800,,
201,106,,,短程車資,0295,3202019800,,
201,106,,,機要費,0297,total,total,30000.00
201,106,,,機要費,0297,3202010100,,
201,106,,,機要費,0297,3202010600,,
201,106,,,機要費,0297,3202010200,,30000.00
201,106,,,機要費,0297,3202010300,,
201,106,,,機要費,0297,3202010401,,
201,106,,,機要費,0297,3202010500,,
201,106,,,機要費,0297,3202010800,,
201,106,,,機要費,0297,3202019800,,
201,106,,,特別費,0299,total,total,3006.00
201,106,,,特別費,0299,3202010100,,3006.00
201,106,,,特別費,0299,3202010600,,
201,106,,,特別費,0299,3202010200,,
201,106,,,特別費,0299,3202010300,,
201,106,,,特別費,0299,3202010401,,
201,106,,,特別費,0299,3202010500,,
201,106,,,特別費,0299,3202010800,,
201,106,,,特別費,0299,3202019800,,
201,106,,,設備及投資,0300,total,total,19335.00
201,106,,,設備及投資,0300,3202010100,,19335.00
201,106,,,設備及投資,0300,3202010600,,
201,106,,,設備及投資,0300,3202010200,,
201,106,,,設備及投資,0300,3202010300,,
201,106,,,設備及投資,0300,3202010401,,
201,106,,,設備及投資,0300,3202010500,,
201,106,,,設備及投資,0300,3202010800,,
201,106,,,設備及投資,0300,3202019800,,
201,106,,,機械設備費,0304,total,total,2264.00
201,106,,,機械設備費,0304,3202010100,,2264.00
201,106,,,機械設備費,0304,3202010600,,
201,106,,,機械設備費,0304,3202010200,,
201,106,,,機械設備費,0304,3202010300,,
201,106,,,機械設備費,0304,3202010401,,
201,106,,,機械設備費,0304,3202010500,,
201,106,,,機械設備費,0304,3202010800,,
201,106,,,機械設備費,0304,3202019800,,
201,106,,,資訊軟硬體設備費,0306,total,total,15181.00
201,106,,,資訊軟硬體設備費,0306,3202010100,,15181.00
201,106,,,資訊軟硬體設備費,0306,3202010600,,
201,106,,,資訊軟硬體設備費,0306,3202010200,,
201,106,,,資訊軟硬體設備費,0306,3202010300,,
201,106,,,資訊軟硬體設備費,0306,3202010401,,
201,106,,,資訊軟硬體設備費,0306,3202010500,,
201,106,,,資訊軟硬體設備費,0306,3202010800,,
201,106,,,資訊軟硬體設備費,0306,3202019800,,
201,106,,,雜項設備費,0319,total,total,1890.00
201,106,,,雜項設備費,0319,3202010100,,1890.00
201,106,,,雜項設備費,0319,3202010600,,
201,106,,,雜項設備費,0319,3202010200,,
201,106,,,雜項設備費,0319,3202010300,,
201,106,,,雜項設備費,0319,3202010401,,
201,106,,,雜項設備費,0319,3202010500,,
201,106,,,雜項設備費,0319,3202010800,,
201,106,,,雜項設備費,0319,3202019800,,
201,106,,,獎補助費,0400,total,total,1067.00
201,106,,,獎補助費,0400,3202010100,,1067.00
201,106,,,獎補助費,0400,3202010600,,
201,106,,,獎補助費,0400,3202010200,,
201,106,,,獎補助費,0400,3202010300,,
201,106,,,獎補助費,0400,3202010401,,
201,106,,,獎補助費,0400,3202010500,,
201,106,,,獎補助費,0400,3202010800,,
201,106,,,獎補助費,0400,3202019800,,
201,106,,,對國內團體之捐助,0437,total,total,47.00
201,106,,,對國內團體之捐助,0437,3202010100,,47.00
201,106,,,對國內團體之捐助,0437,3202010600,,
201,106,,,對國內團體之捐助,0437,3202010200,,
201,106,,,對國內團體之捐助,0437,3202010300,,
201,106,,,對國內團體之捐助,0437,3202010401,,
201,106,,,對國內團體之捐助,0437,3202010500,,
201,106,,,對國內團體之捐助,0437,3202010800,,
201,106,,,對國內團體之捐助,0437,3202019800,,
201,106,,,獎勵及慰問,0475,total,total,1020.00
201,106,,,獎勵及慰問,0475,3202010100,,1020.00
201,106,,,獎勵及慰問,0475,3202010600,,
201,106,,,獎勵及慰問,0475,3202010200,,
201,106,,,獎勵及慰問,0475,3202010300,,
201,106,,,獎勵及慰問,0475,3202010401,,
201,106,,,獎勵及慰問,0475,3202010500,,
201,106,,,獎勵及慰問,0475,3202010800,,
201,106,,,獎勵及慰問,0475,3202019800,,
201,106,,,預備金,0900,total,total,2073.00
201,106,,,預備金,0900,3202010100,,
201,106,,,預備金,0900,3202010600,,
201,106,,,預備金,0900,3202010200,,
201,106,,,預備金,0900,3202010300,,
201,106,,,預備金,0900,3202010401,,
201,106,,,預備金,0900,3202010500,,
201,106,,,預備金,0900,3202010800,,
201,106,,,預備金,0900,3202019800,,2073.00
201,106,,,第一預備金,0901,total,total,2073.00
201,106,,,第一預備金,0901,3202010100,,
201,106,,,第一預備金,0901,3202010600,,
201,106,,,第一預備金,0901,3202010200,,
201,106,,,第一預備金,0901,3202010300,,
201,106,,,第一預備金,0901,3202010401,,
201,106,,,第一預備金,0901,3202010500,,
201,106,,,第一預備金,0901,3202010800,,
201,106,,,第一預備金,0901,3202019800,,2073.00
201,107,,,合計,,total,total,920582.00
201,107,,,合計,,3202010100,,826383.00
201,107,,,合計,,3202010600,,23755.00
201,107,,,合計,,3202010200,,30000.00
201,107,,,合計,,3202010300,,15614.00
201,107,,,合計,,3202010401,,6861.00
201,107,,,合計,,3202010500,,10194.00
201,107,,,合計,,3202010800,,5402.00
201,107,,,合計,,3202019800,,2373.00
201,107,,,人事費,0100,total,total,623763.00
201,107,,,人事費,0100,3202010100,,615358.00
201,107,,,人事費,0100,3202010600,,8405.00
201,107,,,人事費,0100,3202010200,,
201,107,,,人事費,0100,3202010300,,
201,107,,,人事費,0100,3202010401,,
201,107,,,人事費,0100,3202010500,,
201,107,,,人事費,0100,3202010800,,
201,107,,,人事費,0100,3202019800,,
201,107,,,政務人員待遇,0102,total,total,24967.00
201,107,,,政務人員待遇,0102,3202010100,,16562.00
201,107,,,政務人員待遇,0102,3202010600,,8405.00
201,107,,,政務人員待遇,0102,3202010200,,
201,107,,,政務人員待遇,0102,3202010300,,
201,107,,,政務人員待遇,0102,3202010401,,
201,107,,,政務人員待遇,0102,3202010500,,
201,107,,,政務人員待遇,0102,3202010800,,
201,107,,,政務人員待遇,0102,3202019800,,
201,107,,,法定編制人員待遇,0103,total,total,307627.00
201,107,,,法定編制人員待遇,0103,3202010100,,307627.00
201,107,,,法定編制人員待遇,0103,3202010600,,
201,107,,,法定編制人員待遇,0103,3202010200,,
201,107,,,法定編制人員待遇,0103,3202010300,,
201,107,,,法定編制人員待遇,0103,3202010401,,
201,107,,,法定編制人員待遇,0103,3202010500,,
201,107,,,法定編制人員待遇,0103,3202010800,,
201,107,,,法定編制人員待遇,0103,3202019800,,
201,107,,,約聘僱人員待遇,0104,total,total,12332.00
201,107,,,約聘僱人員待遇,0104,3202010100,,12332.00
201,107,,,約聘僱人員待遇,0104,3202010600,,
201,107,,,約聘僱人員待遇,0104,3202010200,,
201,107,,,約聘僱人員待遇,0104,3202010300,,
201,107,,,約聘僱人員待遇,0104,3202010401,,
201,107,,,約聘僱人員待遇,0104,3202010500,,
201,107,,,約聘僱人員待遇,0104,3202010800,,
201,107,,,約聘僱人員待遇,0104,3202019800,,
201,107,,,技工及工友待遇,0105,total,total,50662.00
201,107,,,技工及工友待遇,0105,3202010100,,50662.00
201,107,,,技工及工友待遇,0105,3202010600,,
201,107,,,技工及工友待遇,0105,3202010200,,
201,107,,,技工及工友待遇,0105,3202010300,,
201,107,,,技工及工友待遇,0105,3202010401,,
201,107,,,技工及工友待遇,0105,3202010500,,
201,107,,,技工及工友待遇,0105,3202010800,,
201,107,,,技工及工友待遇,0105,3202019800,,
201,107,,,獎金,0111,total,total,107349.00
201,107,,,獎金,0111,3202010100,,107349.00
201,107,,,獎金,0111,3202010600,,
201,107,,,獎金,0111,3202010200,,
201,107,,,獎金,0111,3202010300,,
201,107,,,獎金,0111,3202010401,,
201,107,,,獎金,0111,3202010500,,
201,107,,,獎金,0111,3202010800,,
201,107,,,獎金,0111,3202019800,,
201,107,,,其他給與,0121,total,total,9901.00
201,107,,,其他給與,0121,3202010100,,9901.00
201,107,,,其他給與,0121,3202010600,,
201,107,,,其他給與,0121,3202010200,,
201,107,,,其他給與,0121,3202010300,,
201,107,,,其他給與,0121,3202010401,,
201,107,,,其他給與,0121,3202010500,,
201,107,,,其他給與,0121,3202010800,,
201,107,,,其他給與,0121,3202019800,,
201,107,,,加班值班費,0131,total,total,33543.00
201,107,,,加班值班費,0131,3202010100,,33543.00
201,107,,,加班值班費,0131,3202010600,,
201,107,,,加班值班費,0131,3202010200,,
201,107,,,加班值班費,0131,3202010300,,
201,107,,,加班值班費,0131,3202010401,,
201,107,,,加班值班費,0131,3202010500,,
201,107,,,加班值班費,0131,3202010800,,
201,107,,,加班值班費,0131,3202019800,,
201,107,,,退休退職給付,0142,total,total,4899.00
201,107,,,退休退職給付,0142,3202010100,,4899.00
201,107,,,退休退職給付,0142,3202010600,,
201,107,,,退休退職給付,0142,3202010200,,
201,107,,,退休退職給付,0142,3202010300,,
201,107,,,退休退職給付,0142,3202010401,,
201,107,,,退休退職給付,0142,3202010500,,
201,107,,,退休退職給付,0142,3202010800,,
201,107,,,退休退職給付,0142,3202019800,,
201,107,,,退休離職儲金,0143,total,total,32106.00
201,107,,,退休離職儲金,0143,3202010100,,32106.00
201,107,,,退休離職儲金,0143,3202010600,,
201,107,,,退休離職儲金,0143,3202010200,,
201,107,,,退休離職儲金,0143,3202010300,,
201,107,,,退休離職儲金,0143,3202010401,,
201,107,,,退休離職儲金,0143,3202010500,,
