id,time,計畫名稱及領域代碼,擬前往地區,擬拜會單位,工作內容,預計前往期間,預計天數,擬派人數,旅費預算_交通費,旅費預算_生活費,旅費預算_辦公費,旅費預算_合計,歸屬預算科目,前三年內有無赴同一單位拜會,前三年赴同一單位拜會之內容
240,114,"48 植物生理及分子生物學相關會議15",大陸地區、香港及澳門,學術研究機構,學術討論與發表論文,114.01-114.12,6,2,35,10,5,50,南部院區,無,
240,114,"49 農業生物科技研究15",大陸地區,學術研究單位,參加會議、發表論文,114.01-114.12,3,2,10,7,3,20,生命科學研究,無,
240,114,"50 短期學術交流及訪問15",大陸地區,學術研究單位,學術交流及研究訪問,114.01-114.12,3,1,15,10,3,28,生命科學研究,無,
240,114,"51 史學及考文研究相關之學術會議76",大陸地區,參加會議地點,出席國際學術會議等,114.01-114.12,5,3,60,231,9,300,人文及社會科學研究,無,
240,114,"52 史學及考文研究之相關計畫76",大陸地區,當地重點大學、博物館、圖書館及學術機構等,參訪、學術交流、田野調查及研究資料蒐集等,114.01-114.12,5,3,60,231,9,300,人文及社會科學研究,無,
240,114,"53 史學及考文研究之相關計畫76",大陸地區,重點遺址、訪查、文物收藏及研究單位等,田野調查及研究資料蒐集等,114.01-114.12,4,2,30,67,3,100,人文及社會科學研究,無,
240,114,"54 民族學研究81",中國大陸,北京大學、學術研究單位,參加會議,114.01-114.12,7,1,18,37,8,63,人文及社會科學研究,無,
240,114,"55 台灣、中國與世界民族誌研究75",中國大陸,廈門、福建、四川等地博物館、遺址及當地儀式祭典,蒐集檔案文獻材料及田野調查參與觀查、考古挖掘民族誌調查,114.09-114.11,28,1,35,95,2,132,人文及社會科學研究,無,
240,114,"56 宗教生活及原住民研究75",中國大陸,福建省福州市與鄰近城市廟宇天后廟宇與民間信仰相關單位、昆明滇北阿卯教會,廟宇田野調查、教會參與觀察、信徒與傳道人訪談及資料蒐集,114.02-114.11,39,2,67,204,7,278,人文及社會科學研究,有,前往滇北阿卯教會實地訪查
240,114,"57 文化生產與共作75",中國大陸,湖南江永農村、民間社會機構,女書田野調查、經濟文化與治理性田野調查及資料蒐集,114.11-114.12,14,1,30,58,2,90,人文及社會科學研究,無,
240,114,"58 近代史研究及史料搜集整編76",大陸地區,學術機構,出席會議,114.01-114.12,5,3,40,56,4,100,人文及社會科學研究,無,
240,114,"59 近代史研究及史料搜集整編76",大陸地區,學術機構,學術訪問、資料蒐集及商議合作事宜等,114.01-114.12,5,4,120,248,32,400,人文及社會科學研究,無,
240,114,"60 各學門經濟問題專題研討會85",大陸地區及港澳,學術研究單位,參加會議及發表論文、學術交流等,114.01-114.12,6,8,150,298,32,480,人文及社會科學研究,無,
240,114,"61 各學門有關經濟問題之學術交流85",大陸地區及港澳,學術研究單位,學術研究及蒐集資料等,114.01-114.12,8,5,80,188,14,282,人文及社會科學研究,無,
240,114,"62 文學、哲學及經學研究73",大陸等地區,學術研究單位,文哲經學術及研究等相關領域,114.01-114.12,7,3,75,75,0,150,人文及社會科學研究,無,
240,114,"63 文學、哲學及經學研究73",大陸等地區,學術研究單位,文哲經學術及研究等相關領域,114.01-114.12,5,5,124,126,0,250,人文及社會科學研究,無,
240,114,"64 語言學研究72",大陸地區,學術研究單位,田野調查,114.01-114.12,7,1,20,60,20,100,人文及社會科學研究,無,
240,114,"65 應用科學相關會議16",大陸港澳,學術機構,參加會議、發表論文,114.01-114.12,4,2,30,10,30,70,數理科學研究,無,
240,114,"66 訪問大陸各大學及學術研究機構16",大陸港澳,大陸港澳各大學及學術研究機構,學術交流,114.01-114.12,4,1,13,7,10,30,數理科學研究,無,
240,114,"67 政治學研究83",香港,中文大學,資料搜尋,114.10-114.10,7,1,20,50,0,70,人文及社會科學研究,無,
240,114,"68 環境變遷研究研討會13",大陸地區,學術研究機構,參加會議、發表論文、演講,114.01-114.12,4,1,7,8,0,15,數理科學研究,無,
240,114,"69 海洋科學研究研討會1A",大陸地區,學術研究機構,參加會議、發表論文、演講,114.01-114.12,4,1,7,8,0,15,數理科學研究,無,
240,114,"70 短期學術交流及訪問13",大陸地區,學術研究機構,學術交流訪問,114.01-114.12,5,2,10,20,0,30,數理科學研究,無,
240,114,"71 生物多樣性研討會15",大陸地區,學術研究單位,參加會議及發表論文、演講,114.01-114.12,5,2,75,75,0,150,生命科學研究,有,學術交流
240,114,"72 生態維護及生態多樣性研究15",大陸地區,當地學術研究機構及重點大學,學術交流、檢視標本,114.01-114.12,10,4,450,200,0,650,生命科學研究,有,收集研究資料
240,114,"73 基因體相關研究之國際會議暨研討15",大陸地區,學術研究單位,國際學術會議及學術交流,114.01-114.12,5,2,30,40,30,100,生命科學研究,無,
240,114,"74 人文及社會科學研究91",大陸地區,學術機構,參加會議並發表論文,114.01-114.12,5,2,35,65,0,100,人文及社會科學研究,無,
240,114,"75 人文及社會科學研究91",大陸地區,學術機構,進行田野調查、收集研究資料與商議合作事項等,114.01-114.12,14,3,60,240,0,300,人文及社會科學研究,無,
240,114,"76 法律學研究84",大陸地區,學術研究機構等,參加會議及發表論文,114.01-114.12,4,2,20,25,5,50,人文及社會科學研究,無,
240,114,"77 法律學研究84",大陸地區,學術研究機構等,學術交流及蒐集資料等,114.01-114.12,4,1,12,15,3,30,人文及社會科學研究,無,
240,114,"78 資訊科技創新研究計畫3M",大陸地區,學術研究單位,出席國際會議,114.01-114.12,5,2,40,50,30,120,數理科學研究,無,
501,113,"01 派員赴大陸地區司法交流及工作會談84",北京,當地法院或司法機關,兩岸共同打擊犯罪及司法互助協議架構下之司法交流及工作會談。,113.05-113.09,4,2,37,58,33,128,一般行政,無,
501,113,"02 派員赴大陸地區參加兩岸智慧財產訴訟法律論壇84",北京,當地法院或司法機關,參加兩岸智慧財產訴訟法律論壇。,113.06-113.06,4,2,20,59,29,108,一般行政,無,
501,114,"01 派員赴大陸地區司法交流及工作會議84",北京,最高人民法院等,兩岸共同打擊犯罪及司法互助協議架構下之司法交流及工作會議。,114.05-114.09,6,2,44,91,48,183,一般行政,無,
501,114,"02 派員赴大陸地區參加兩岸智慧財產訴訟法律論壇或相關參訪、考察等活動84",北京,當地法院或司法機關,參加兩岸智慧財產訴訟法律論壇或相關參訪、考察等活動。,114.06-114.06,5,2,43,76,35,154,一般行政,無,
2001,113,01　海外華人地區招生宣導86,香港、澳門及大陸地區,海華服務基金會、海峽兩岸招生中心及港澳大陸學校等,配合海外聯招會、陸生聯招會招生規劃及宣導時程，赴港澳、大陸進行試務溝通及招生宣導。,113.02-113.06,4,3,25,43,12,80,高等教育行政及督導,無,
2001,113,02　香港4所大學辦學訪視86,香港,珠海大學、新亞研究所、能仁學院、德明學院,訪視學校辦學及校務督導。,113.10-113.11,4,3,25,42,10,77,高等教育行政及督導,無,
2001,113,03　招收大陸及港澳專科學生來臺就讀86,香港、澳門及大陸地區,視會議議程而定,"1.參加港澳教育展擴大招收港澳學生。 
2.至大陸洽談招收陸生業務。",113.01-113.12,4,2,200,50,0,250,技術職業教育行政及督導,無,
2001,113,04　香港臺灣高等教育展86,香港,視活動地點而定,辦理教育展、宣傳高等教育及招生。,113.01-113.12,3,2,30,43,10,83,國際及兩岸教育交流,無,
