id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,11109,111,09,1,4104,規費收入,0,1441
201,11109,111,09,1,4105,財產收益,161200,1895194
201,11109,111,09,1,4108,其他收入,35644,229644
201,11109,111,09,1,510101,繳付公庫數,196844,2815901
201,11109,111,09,1,5102,人事支出,53274263,580989528
201,11109,111,09,1,5103,業務支出,16415598,133462110
201,11109,111,09,1,5104,獎補助支出,13980,1069630
201,11109,111,09,1,5105,財產損失,31434,85165
201,11109,111,09,1,5108,折舊、折耗及攤銷,3599079,31784340
201,11109,111,09,1,,收支餘絀,2652157,3482882
201,11110,111,10,1,410101,公庫撥入數,96746298,847619953
201,11110,111,10,1,4103,罰款及賠償收入,25000,714622
201,11110,111,10,1,4104,規費收入,0,1441
201,11110,111,10,1,4105,財產收益,95600,1990794
201,11110,111,10,1,4108,其他收入,911251,1140895
201,11110,111,10,1,510101,繳付公庫數,1031851,3847752
201,11110,111,10,1,5102,人事支出,52069598,633059126
201,11110,111,10,1,5103,業務支出,40699151,174161261
201,11110,111,10,1,5104,獎補助支出,0,1069630
201,11110,111,10,1,5105,財產損失,69125,154290
201,11110,111,10,1,5108,折舊、折耗及攤銷,3665581,35449921
201,11110,111,10,1,,收支餘絀,242843,3725725
201,11111,111,11,1,410101,公庫撥入數,72476487,920096440
201,11111,111,11,1,4103,罰款及賠償收入,0,714622
201,11111,111,11,1,4104,規費收入,82,1523
201,11111,111,11,1,4105,財產收益,80100,2070894
201,11111,111,11,1,4108,其他收入,55289,1196184
201,11111,111,11,1,510101,繳付公庫數,135471,3983223
201,11111,111,11,1,5102,人事支出,47337513,680396639
201,11111,111,11,1,5103,業務支出,17297623,191458884
201,11111,111,11,1,5104,獎補助支出,9670,1079300
201,11111,111,11,1,5105,財產損失,14255,168545
201,11111,111,11,1,5108,折舊、折耗及攤銷,3785188,39235109
201,11111,111,11,1,,收支餘絀,4032238,7757963
201,11112,111,12,1,410101,公庫撥入數,94974666,1015071106
201,11112,111,12,1,4103,罰款及賠償收入,500,715122
201,11112,111,12,1,4104,規費收入,30,1553
201,11112,111,12,1,4105,財產收益,101810,2172704
201,11112,111,12,1,4108,其他收入,72510,1268694
201,11112,111,12,1,510101,繳付公庫數,174850,4158073
201,11112,111,12,1,5102,人事支出,35216938,715613577
201,11112,111,12,1,5103,業務支出,56072288,247531172
201,11112,111,12,1,5104,獎補助支出,0,1079300
201,11112,111,12,1,5105,財產損失,19718,188263
