id,time,款,項,目,節,科目名稱及編號,預算數,預計執行內容
2001,112,,5120010701,,11801,,"1.辦理學生事務行政及督導，法治教育及品德教育相關媒體宣導製作、託播等經費2,637千元。2.辦理性別平等教育，「性別平等Easy Go」廣播節目、性別平等教育全球資訊網系統功能擴充及維護工作計畫等相關媒體宣導製作、託播及刊登等經費689千元。3.辦理校園安全維護與防制學生藥物濫用，相關媒體宣導製作、託播及刊登等經費7,103千元。4.辦理學生全民國防教育推展，各級學校推動全民國防教育之政策、教學及多元輔教活動實況等，相關媒體宣導製作、託播及刊登等經費207千元。5.辦理發展與改進大專校院特殊教育，委託辦理特殊教育宣導廣播節目-特別的愛等經費751千元。6.辦理推動學生輔導工作，生命教育相關媒體宣傳製作、託播等經費414千元",1
2001,112,,學生事務與特殊教育行政及督導,,,,,
2001,112,,5120010900,,13129,6,,
2001,112,,各項教育推展,,,,,
2001,112,,5120010904,,4320,,"1.辦理資訊科技融入教學，相關媒體宣導製作、託播及刊登等經費3,600千元。2.辦理氣候變遷調適與防災教育及永續校園計畫，環境、防災、氣候變遷、永續發展媒體宣導等經費720千元。",1
2001,112,,資訊與科技教育行政及督導,,,,,
2001,112,,5120010908,,8809,,"1.辦理國際教育活動業務，委託媒體執行與國際交流活動相關之政策及業務宣導等經費2,000千元。2.辦理國際華語文教育，推廣學華語到臺灣及臺灣優質華語教育，相關媒體宣導製作、託播及刊登等經費2,220千元。3.辦理培育宏觀視野國際人才，留遊學經驗分享及說明會之線上轉播，以及製作相關影片，利用社群媒體推播，相關媒體宣導製作、託播及刊登等經費891千元。4.辦理吸引國際學生來臺就學，宣導各類留學臺灣及獎學金資訊，相關媒體宣導製作、託播、刊登及圖文攝影暨短片，以及辦理留學臺灣系列文宣製作，相關媒體文宣製作等經費3,598千元。5.辦理港澳及兩岸教育相關事務，透過網路搜尋關鍵字設定，提升招生資訊觸及率、報名人數等媒體宣導經費100千元。 ",2
2001,112,,國際及兩岸教育交流,,,,,
2001,113,11,,,,0020000000,教育部主管,53314,
2001,113,,1,,,0020010000,教育部,53314,
2001,113,,,,,5120010000,教育支出,53314,
2001,113,,,1,,5120010100,一般行政,600,辦理推展一般教育及編印文教書刊，有關本部重要政策、制度變革等素材以本部自媒體宣導管道推廣等經費600千元。
2001,113,,,2,,5120010200,高等教育,15585,
2001,113,,,,1,5120010201,高等教育行政及督導,6280,"1.辦理學術審議著作審查、設置國家講座與學術獎及改善高教人才斷層，表揚國家講座主持人獎、國家產學大師獎暨學術獎獲獎人，宣傳頒獎典禮等經費850千元。
2.辦理推動及改進大學招生制度，相關活動之宣傳費，含網路平臺推廣、網路行銷費等經費428千元。
3.辦理強化人才培育及產學合作機制，大學校院藝術與設計人才養成等計畫，行銷推廣所需之宣傳費，含網路平臺推廣、網路行銷費等經費550千元。
4.辦理改善教學研究環境及提升高等教育行政服務品質，辦理高教創新內容主題人物專訪，各項高等教育政策媒體宣導等經費4,452千元。"
