id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,預算數_原預算數,預算數_預算增減數,預算數_合計1,決算數_實現數,決算數_應收數,決算數_保留數,決算數_合計2,預決算比較增減數,決算數占預算數之比率
240,112,112,,,1,,1202400200-5,雜項收入,,,139437000,0,139437000,129986562,0,0,129986562,-9450438,93.22
240,112,112,,,,1,1202400201-8,收回以前年度歲出,,,2000000,0,2000000,971378,0,0,971378,-1028622,48.57
240,112,112,,,,2,1202400210-9,其他雜項收入,,,137437000,0,137437000,129015184,0,0,129015184,-8421816,93.87
240,112,112,,,,,經常門小計,,,,149671000,0,149671000,138616133,0,0,138616133,-11054867,92.61
240,112,112,,,,,資本門小計,,0,0,0,0,0,0,0,0,0,0,0.00
240,112,112,,,,,合計,,,,149671000,0,149671000,138616133,0,0,138616133,-11054867,92.61
401,105,105,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,"7,558,657",0,0,"7,558,657","7,558,657",
401,105,105,,20,,,0404010000-3,立法院,,,0,0,0,"7,558,657",0,0,"7,558,657","7,558,657",
401,105,105,,,01,,0404010300-7,賠償收入,,,0,0,0,"7,558,657",0,0,"7,558,657","7,558,657",
401,105,105,,,,01,0404010301-0,一般賠償收入,,,0,0,0,"7,558,657",0,0,"7,558,657","7,558,657",
401,105,105,04,,,,0700000000-9,財產收入,,,"6,862,000",0,"6,862,000","6,464,845",0,0,"6,464,845","-397,155",94.21
401,105,105,,22,,,0704010000-0,立法院,,,"6,862,000",0,"6,862,000","6,464,845",0,0,"6,464,845","-397,155",94.21
401,105,105,,,01,,0704010100-4,財產孳息,,,"5,677,000",0,"5,677,000","5,687,474",0,0,"5,687,474","10,474",100.18
401,105,105,,,,01,0704010106-0,租金收入,,,"5,677,000",0,"5,677,000","5,687,474",0,0,"5,687,474","10,474",100.18
401,105,105,,,02,,0704010600-7,廢舊物資售價,,,"1,185,000",0,"1,185,000","777,371",0,0,"777,371","-407,629",65.60
401,105,105,07,,,,1100000000-2,其他收入,,,"4,161,000",0,"4,161,000","31,777,315",0,0,"31,777,315","27,616,315",763.69
401,105,105,,23,,,1104010000-3,立法院,,,"4,161,000",0,"4,161,000","31,777,315",0,0,"31,777,315","27,616,315",763.69
401,105,105,,,01,,1104010900-4,雜項收入,,,"4,161,000",0,"4,161,000","31,777,315",0,0,"31,777,315","27,616,315",763.69
401,105,105,,,,01,1104010901-7,收回以前年度歲出,,,"3,800,000",0,"3,800,000","31,074,906",0,0,"31,074,906","27,274,906",817.76
401,105,105,,,,02,1104010909-9,其他雜項收入,,,"361,000",0,"361,000","702,409",0,0,"702,409","341,409",194.57
401,105,105,,,,,經常門小計,,,,"11,023,000",0,"11,023,000","45,800,817",0,0,"45,800,817","34,777,817",415.50
401,105,105,null,null,null,null,資本門小計,,0,0,0,0,0,0,0,0,0,0,
401,105,105,,,,,合計,,,,"11,023,000",0,"11,023,000","45,800,817",0,0,"45,800,817","34,777,817",415.50
401,106,106,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,"702,992",0,0,"702,992","702,992",
401,106,106,,21,,,0404010000-3,立法院,,,0,0,0,"702,992",0,0,"702,992","702,992",
401,106,106,,,01,,0404010300-7,賠償收入,,,0,0,0,"702,992",0,0,"702,992","702,992",
401,106,106,,,,01,0404010301-0,一般賠償收入,,,0,0,0,"702,992",0,0,"702,992","702,992",
401,106,106,04,,,,0700000000-9,財產收入,,,"6,632,000",0,"6,632,000","7,109,016",0,0,"7,109,016","477,016",107.19
401,106,106,,22,,,0704010000-0,立法院,,,"6,632,000",0,"6,632,000","7,109,016",0,0,"7,109,016","477,016",107.19
401,106,106,,,01,,0704010100-4,財產孳息,,,"5,802,000",0,"5,802,000","6,270,759",0,0,"6,270,759","468,759",108.08
401,106,106,,,,01,0704010106-0,租金收入,,,"5,802,000",0,"5,802,000","6,270,759",0,0,"6,270,759","468,759",108.08
401,106,106,,,02,,0704010600-7,廢舊物資售價,,,"830,000",0,"830,000","838,257",0,0,"838,257","8,257",100.99
401,106,106,07,,,,1100000000-2,其他收入,,,"642,000",0,"642,000","1,173,531",0,0,"1,173,531","531,531",182.79
401,106,106,,23,,,1104010000-3,立法院,,,"642,000",0,"642,000","1,173,531",0,0,"1,173,531","531,531",182.79
401,106,106,,,01,,1104010900-4,雜項收入,,,"642,000",0,"642,000","1,173,531",0,0,"1,173,531","531,531",182.79
401,106,106,,,,01,1104010901-7,收回以前年度歲出,,,"300,000",0,"300,000","551,566",0,0,"551,566","251,566",183.86
401,106,106,,,,02,1104010909-9,其他雜項收入,,,"342,000",0,"342,000","621,965",0,0,"621,965","279,965",181.86
401,106,106,,,,,經常門小計,,,,"7,274,000",0,"7,274,000","8,985,539",0,0,"8,985,539","1,711,539",123.53
401,106,106,null,null,null,null,資本門小計,,0,0,0,0,0,0,0,0,0,0,
401,106,106,,,,,合計,,,,"7,274,000",0,"7,274,000","8,985,539",0,0,"8,985,539","1,711,539",123.53
401,107,107,02,,,,0400000000-2,罰款及賠償收入,,,"680,000",0,"680,000","497,600",0,0,"497,600","-182,400",73.18
401,107,107,,20,,,0404010000-3,立法院,,,"680,000",0,"680,000","497,600",0,0,"497,600","-182,400",73.18
401,107,107,,,01,,0404010300-7,賠償收入,,,"680,000",0,"680,000","497,600",0,0,"497,600","-182,400",73.18
401,107,107,,,,01,0404010301-0,一般賠償收入,,,"680,000",0,"680,000","497,600",0,0,"497,600","-182,400",73.18
401,107,107,04,,,,0700000000-9,財產收入,,,"7,338,000",0,"7,338,000","8,970,390",0,0,"8,970,390","1,632,390",122.25
401,107,107,,21,,,0704010000-0,立法院,,,"7,338,000",0,"7,338,000","8,970,390",0,0,"8,970,390","1,632,390",122.25
401,107,107,,,01,,0704010100-4,財產孳息,,,"6,308,000",0,"6,308,000","7,188,730",0,0,"7,188,730","880,730",113.96
401,107,107,,,,01,0704010106-0,租金收入,,,"6,308,000",0,"6,308,000","7,188,730",0,0,"7,188,730","880,730",113.96
401,107,107,,,02,,0704010600-7,廢舊物資售價,,,"1,030,000",0,"1,030,000","1,781,660",0,0,"1,781,660","751,660",172.98
401,107,107,07,,,,1100000000-2,其他收入,,,"979,000",0,"979,000","852,011",0,0,"852,011","-126,989",87.03
401,107,107,,22,,,1104010000-3,立法院,,,"979,000",0,"979,000","852,011",0,0,"852,011","-126,989",87.03
401,107,107,,,01,,1104010900-4,雜項收入,,,"979,000",0,"979,000","852,011",0,0,"852,011","-126,989",87.03
401,107,107,,,,01,1104010901-7,收回以前年度歲出,,,"414,000",0,"414,000","278,153",0,0,"278,153","-135,847",67.19
401,107,107,,,,02,1104010909-9,其他雜項收入,,,"565,000",0,"565,000","573,858",0,0,"573,858","8,858",101.57
401,107,107,,,,,經常門小計,,,,"8,997,000",0,"8,997,000","10,320,001",0,0,"10,320,001","1,323,001",114.70
401,107,107,null,null,null,null,資本門小計,,0,0,0,0,0,0,0,0,0,0,
401,107,107,,,,,合計,,,,"8,997,000",0,"8,997,000","10,320,001",0,0,"10,320,001","1,323,001",114.70
401,108,108,02,,,,0400000000-2,罰款及賠償收入,,,"650,000",0,"650,000","3,083,146",0,0,"3,083,146","2,433,146",474.33
401,108,108,,21,,,0404010000-3,立法院,,,"650,000",0,"650,000","3,083,146",0,0,"3,083,146","2,433,146",474.33
401,108,108,,,01,,0404010300-7,賠償收入,,,"650,000",0,"650,000","3,083,146",0,0,"3,083,146","2,433,146",474.33
401,108,108,,,,01,0404010301-0,一般賠償收入,,,"650,000",0,"650,000","3,083,146",0,0,"3,083,146","2,433,146",474.33
401,108,108,04,,,,0700000000-9,財產收入,,,"8,215,000",0,"8,215,000","8,972,887",0,0,"8,972,887","757,887",109.23
401,108,108,,21,,,0704010000-0,立法院,,,"8,215,000",0,"8,215,000","8,972,887",0,0,"8,972,887","757,887",109.23
401,108,108,,,01,,0704010100-4,財產孳息,,,"7,397,000",0,"7,397,000","7,536,727",0,0,"7,536,727","139,727",101.89
401,108,108,,,,01,0704010106-0,租金收入,,,"7,397,000",0,"7,397,000","7,536,727",0,0,"7,536,727","139,727",101.89
401,108,108,,,02,,0704010600-7,廢舊物資售價,,,"818,000",0,"818,000","1,436,160",0,0,"1,436,160","618,160",175.57
401,108,108,07,,,,1100000000-2,其他收入,,,"940,000",0,"940,000","892,010",0,0,"892,010","-47,990",94.89
401,108,108,,22,,,1104010000-3,立法院,,,"940,000",0,"940,000","892,010",0,0,"892,010","-47,990",94.89
401,108,108,,,01,,1104010900-4,雜項收入,,,"940,000",0,"940,000","892,010",0,0,"892,010","-47,990",94.89
401,108,108,,,,01,1104010901-7,收回以前年度歲出,,,"375,000",0,"375,000","306,935",0,0,"306,935","-68,065",81.85
401,108,108,,,,02,1104010909-9,其他雜項收入,,,"565,000",0,"565,000","585,075",0,0,"585,075","20,075",103.55
401,108,108,,,,,經常門小計,,,,"9,805,000",0,"9,805,000","12,948,043",0,0,"12,948,043","3,143,043",132.06
401,108,108,null,null,null,null,資本門小計,,0,0,0,0,0,0,0,0,0,0,
401,108,108,,,,,合計,,,,"9,805,000",0,"9,805,000","12,948,043",0,0,"12,948,043","3,143,043",132.06
