id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額
201,10804,108,04,2,1404,房屋建築及設備,20939581
201,10804,108,04,2,1405,機械及設備,31050405
201,10804,108,04,2,1406,交通及運輸設備,31224431
201,10804,108,04,2,1407,雜項設備,25303525
201,10804,108,04,2,1410,收藏品及傳承資產,3768088072
201,10804,108,04,2,1601,無形資產,34318777
201,10804,108,04,2,3601,資本資產總額,7680092478
201,10805,108,05,2,1401,土地,3769167687
201,10805,108,05,2,1404,房屋建築及設備,20838362
201,10805,108,05,2,1405,機械及設備,30222662
201,10805,108,05,2,1406,交通及運輸設備,30597646
201,10805,108,05,2,1407,雜項設備,24764261
201,10805,108,05,2,1410,收藏品及傳承資產,3768088072
201,10805,108,05,2,1601,無形資產,33714178
201,10805,108,05,2,3601,資本資產總額,7677392868
201,10806,108,06,2,1401,土地,3769167687
201,10806,108,06,2,1404,房屋建築及設備,20737143
201,10806,108,06,2,1405,機械及設備,29822253
201,10806,108,06,2,1406,交通及運輸設備,30025190
201,10806,108,06,2,1407,雜項設備,24736507
201,10806,108,06,2,1410,收藏品及傳承資產,3768088072
201,10806,108,06,2,1601,無形資產,33208579
201,10806,108,06,2,3601,資本資產總額,7675785431
201,10807,108,07,2,1401,土地,3769167687
201,10807,108,07,2,1404,房屋建築及設備,20635924
201,10807,108,07,2,1405,機械及設備,30153436
201,10807,108,07,2,1406,交通及運輸設備,29558738
201,10807,108,07,2,1407,雜項設備,24250129
201,10807,108,07,2,1410,收藏品及傳承資產,3768088072
201,10807,108,07,2,1601,無形資產,32907489
201,10807,108,07,2,3601,資本資產總額,7674761475
201,10808,108,08,2,1401,土地,3769167687
201,10808,108,08,2,1404,房屋建築及設備,20534705
201,10808,108,08,2,1405,機械及設備,29396129
201,10808,108,08,2,1406,交通及運輸設備,29239248
201,10808,108,08,2,1407,雜項設備,23942929
201,10808,108,08,2,1410,收藏品及傳承資產,3768088072
201,10808,108,08,2,1601,無形資產,41220297
201,10808,108,08,2,3601,資本資產總額,7681589067
201,10809,108,09,2,1401,土地,3769167687
201,10809,108,09,2,1404,房屋建築及設備,20433486
201,10809,108,09,2,1405,機械及設備,28532804
201,10809,108,09,2,1406,交通及運輸設備,28693318
201,10809,108,09,2,1407,雜項設備,23455555
201,10809,108,09,2,1410,收藏品及傳承資產,3768088072
201,10809,108,09,2,1601,無形資產,41714580
201,10809,108,09,2,3601,資本資產總額,7680085502
201,10810,108,10,2,1401,土地,3769167687
201,10810,108,10,2,1404,房屋建築及設備,20332267
201,10810,108,10,2,1405,機械及設備,31697315
201,10810,108,10,2,1406,交通及運輸設備,28318799
201,10810,108,10,2,1407,雜項設備,23225612
201,10810,108,10,2,1410,收藏品及傳承資產,3768088072
201,10810,108,10,2,1601,無形資產,42664261
201,10810,108,10,2,3601,資本資產總額,7683494013
201,10811,108,11,2,1401,土地,3769167687
201,10811,108,11,2,1404,房屋建築及設備,20231048
201,10811,108,11,2,1405,機械及設備,32202375
201,10811,108,11,2,1406,交通及運輸設備,27746370
201,10811,108,11,2,1407,雜項設備,23653758
201,10811,108,11,2,1410,收藏品及傳承資產,3768088072
201,10811,108,11,2,1601,無形資產,41370145
201,10811,108,11,2,3601,資本資產總額,7682459455
201,10812,108,12,2,1401,土地,3769167687
201,10812,108,12,2,1404,房屋建築及設備,20129829
201,10812,108,12,2,1405,機械及設備,34679831
201,10812,108,12,2,1406,交通及運輸設備,27425650
201,10812,108,12,2,1407,雜項設備,24363451
201,10812,108,12,2,1410,收藏品及傳承資產,3768088072
201,10812,108,12,2,1601,無形資產,47837852
201,10812,108,12,2,3601,資本資產總額,7691692372
201,105,105,12,2,1401,土地,3769167687
201,105,105,12,2,1404,房屋建築及設備,24679794
201,105,105,12,2,1405,機械及設備,28388642
201,105,105,12,2,1406,交通及運輸設備,48362542
201,105,105,12,2,1407,雜項設備,32094569
201,105,105,12,2,1410,收藏品及傳承資產,3768088072
201,105,105,12,2,1601,無形資產,34828402
201,105,105,12,2,3601,資本資產總額,7705609708
201,106,106,12,2,1401,土地,3803806730
201,106,106,12,2,1404,房屋建築及設備,22267413
201,106,106,12,2,1405,機械及設備,23460654
201,106,106,12,2,1406,交通及運輸設備,42593444
201,106,106,12,2,1407,雜項設備,30322355
201,106,106,12,2,1410,收藏品及傳承資產,3768088072
201,106,106,12,2,1601,無形資產,34207624
201,106,106,12,2,3601,資本資產總額,7724746292
201,107,107,12,2,1401,土地,3803806730
201,107,107,12,2,1404,房屋建築及設備,21036033
201,107,107,12,2,1405,機械及設備,33899796
201,107,107,12,2,1406,交通及運輸設備,33609870
201,107,107,12,2,1407,雜項設備,27273962
201,107,107,12,2,1410,收藏品及傳承資產,3768088072
201,107,107,12,2,1601,無形資產,36690518
201,107,107,12,2,3601,資本資產總額,7724404981
201,108,108,12,2,1401,土地,3769167687,3803806730
201,108,108,12,2,1404,房屋建築及設備,20129829,21036033
201,108,108,12,2,1405,機械及設備,34679831,33899796
201,108,108,12,2,1406,交通及運輸設備,27425650,33609870
201,108,108,12,2,1407,雜項設備,24363451,27273962
201,108,108,12,2,1410,收藏品及傳承資產,3768088072,3768088072
201,108,108,12,2,1601,無形資產,47837852,36690518
201,108,108,12,2,3601,資本資產總額,7691692372,7724404981
240,10505,105,05,2,1401,土地,10915256808
240,10505,105,05,2,1404,房屋建築及設備,7561235289
240,10505,105,05,2,1405,機械及設備,3941189471
240,10505,105,05,2,1406,交通及運輸設備,197478161
240,10505,105,05,2,1407,雜項設備,697675229
240,10505,105,05,2,1410,收藏品及傳承資產,37836300000
240,10505,105,05,2,1411,購建中固定資產,240808039
240,10505,105,05,2,1601,無形資產,186708726
