id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,10711,107,11,1,510101,繳付公庫數,472877,4262720
201,10711,107,11,1,5102,人事支出,47815150,679082603
201,10711,107,11,1,5103,業務支出,16678522,176664164
201,10711,107,11,1,5104,設備及投資支出,4243400,15300659
201,10711,107,11,1,5105,獎補助支出,5950,1133640
201,10711,107,11,1,,收支餘絀,-1085248,11354250
201,10712,107,12,1,410101,公庫撥入數,115598236,1000933022
201,10712,107,12,1,4103,罰款及賠償收入,106034,158378
201,10712,107,12,1,4104,規費收入,20,4472
201,10712,107,12,1,4105,財產收入,72728,2086382
201,10712,107,12,1,4108,其他收入,80446,473246
201,10712,107,12,1,510101,繳付公庫數,259228,4521948
201,10712,107,12,1,5102,人事支出,43673348,722755951
201,10712,107,12,1,5103,業務支出,68838353,245502517
201,10712,107,12,1,5104,設備及投資支出,12333145,27633804
201,10712,107,12,1,5105,獎補助支出,4860,1138500
201,10712,107,12,1,,收支餘絀,-9251470,2102780
201,10801,108,01,1,410101,公庫撥入數,199846810,199846810
201,10801,108,01,1,4105,財產收入,1491003,1491003
201,10801,108,01,1,4108,其他收入,12507,12507
201,10801,108,01,1,510101,繳付公庫數,1503510,1503510
201,10801,108,01,1,5102,人事支出,151633602,151633602
201,10801,108,01,1,5103,業務支出,11499824,11499824
201,10801,108,01,1,5104,設備及投資支出,254565,254565
201,10801,108,01,1,5105,獎補助支出,355500,355500
201,10801,108,01,1,,收支餘絀,36103319,36103319
201,10802,108,02,1,410101,公庫撥入數,64039594,263886404
201,10802,108,02,1,4103,罰款及賠償收入,900,900
201,10802,108,02,1,4105,財產收入,72600,1563603
201,10802,108,02,1,4108,其他收入,22588,35095
201,10802,108,02,1,510101,繳付公庫數,96088,1599598
201,10802,108,02,1,5102,人事支出,44486827,196120429
201,10802,108,02,1,5103,業務支出,23523502,35023326
201,10802,108,02,1,5104,設備及投資支出,543404,797969
201,10802,108,02,1,5105,獎補助支出,0,355500
201,10802,108,02,1,,收支餘絀,-4514139,31589180
201,10803,108,03,1,410101,公庫撥入數,65337978,329224382
201,10803,108,03,1,4103,罰款及賠償收入,0,900
201,10803,108,03,1,4105,財產收入,74100,1637703
201,10803,108,03,1,4108,其他收入,42079,77174
201,10803,108,03,1,510101,繳付公庫數,116179,1715777
201,10803,108,03,1,5102,人事支出,53248831,249369260
201,10803,108,03,1,5103,業務支出,12144701,47168027
201,10803,108,03,1,5104,設備及投資支出,370352,1168321
201,10803,108,03,1,5105,獎補助支出,0,355500
201,10803,108,03,1,,收支餘絀,-425906,31163274
201,10804,108,04,1,410101,公庫撥入數,65750488,394974870
201,10804,108,04,1,4103,罰款及賠償收入,0,900
201,10804,108,04,1,4104,規費收入,20,20
201,10804,108,04,1,4105,財產收入,124046,1761749
201,10804,108,04,1,4108,其他收入,26421,103595
201,10804,108,04,1,510101,繳付公庫數,150487,1866264
201,10804,108,04,1,5102,人事支出,51341506,300710766
201,10804,108,04,1,5103,業務支出,18128987,65297014
201,10804,108,04,1,5104,設備及投資支出,221925,1390246
201,10804,108,04,1,5105,獎補助支出,0,355500
201,10804,108,04,1,,收支餘絀,-3941930,27221344
201,10805,108,05,1,410101,公庫撥入數,77676347,472651217
201,10805,108,05,1,4103,罰款及賠償收入,2963,3863
201,10805,108,05,1,4104,規費收入,0,20
201,10805,108,05,1,4105,財產收入,73339,1835088
201,10805,108,05,1,4108,其他收入,26980,130575
201,10805,108,05,1,510101,繳付公庫數,103282,1969546
201,10805,108,05,1,5102,人事支出,53847412,354558178
201,10805,108,05,1,5103,業務支出,18712974,84009988
201,10805,108,05,1,5104,設備及投資支出,253570,1643816
201,10805,108,05,1,5105,獎補助支出,352500,708000
201,10805,108,05,1,,收支餘絀,4509891,31731235
201,10806,108,06,1,410101,公庫撥入數,62426274,535077491
201,10806,108,06,1,4103,罰款及賠償收入,0,3863
201,10806,108,06,1,4104,規費收入,96,116
201,10806,108,06,1,4105,財產收入,74862,1909950
201,10806,108,06,1,4108,其他收入,25483,156058
201,10806,108,06,1,510101,繳付公庫數,100441,2069987
201,10806,108,06,1,5102,人事支出,51059906,405618084
201,10806,108,06,1,5103,業務支出,11155156,95165144
201,10806,108,06,1,5104,設備及投資支出,1187350,2831166
201,10806,108,06,1,5105,獎補助支出,0,708000
201,10806,108,06,1,,收支餘絀,-976138,30755097
201,10807,108,07,1,410101,公庫撥入數,71964696,607042187
201,10807,108,07,1,4103,罰款及賠償收入,0,3863
201,10807,108,07,1,4104,規費收入,110,226
201,10807,108,07,1,4105,財產收入,297851,2207801
201,10807,108,07,1,4108,其他收入,25974,182032
201,10807,108,07,1,510101,繳付公庫數,973935,3043922
201,10807,108,07,1,5102,人事支出,50547693,456165777
201,10807,108,07,1,5103,業務支出,18599942,113765086
201,10807,108,07,1,5104,設備及投資支出,1572301,4403467
201,10807,108,07,1,5105,獎補助支出,0,708000
201,10807,108,07,1,,收支餘絀,594760,31349857
201,10808,108,08,1,410101,公庫撥入數,71195934,678238121
201,10808,108,08,1,4103,罰款及賠償收入,10800,14663
201,10808,108,08,1,4104,規費收入,0,226
201,10808,108,08,1,4105,財產收入,238399,2446200
201,10808,108,08,1,4108,其他收入,26549,208581
201,10808,108,08,1,510101,繳付公庫數,275748,3319670
201,10808,108,08,1,5102,人事支出,46117042,502282819
201,10808,108,08,1,5103,業務支出,16215013,129980099
201,10808,108,08,1,5104,設備及投資支出,9535369,13938836
201,10808,108,08,1,5105,獎補助支出,0,708000
201,10808,108,08,1,,收支餘絀,-671490,30678367
201,10809,108,09,1,410101,公庫撥入數,76896756,755134877
201,10809,108,09,1,4103,罰款及賠償收入,0,14663
201,10809,108,09,1,4104,規費收入,0,226
201,10809,108,09,1,4105,財產收入,81507,2527707
201,10809,108,09,1,4108,其他收入,25527,234108
201,10809,108,09,1,510101,繳付公庫數,107034,3426704
201,10809,108,09,1,5102,人事支出,54914282,557197101
201,10809,108,09,1,5103,業務支出,13709119,143689218
201,10809,108,09,1,5104,設備及投資支出,2178055,16116891
201,10809,108,09,1,5105,獎補助支出,371500,1079500
201,10809,108,09,1,,收支餘絀,5723800,36402167
201,10810,108,10,1,410101,公庫撥入數,94205235,849340112
201,10810,108,10,1,4103,罰款及賠償收入,36401,51064
201,10810,108,10,1,4104,規費收入,0,226
201,10810,108,10,1,4105,財產收入,99758,2627465
201,10810,108,10,1,4108,其他收入,26113,260221
201,10810,108,10,1,510101,繳付公庫數,162272,3588976
201,10810,108,10,1,5102,人事支出,73143961,630341062
201,10810,108,10,1,5103,業務支出,43260634,186949852
201,10810,108,10,1,5104,設備及投資支出,6684415,22801306
201,10810,108,10,1,5105,獎補助支出,3000,1082500
201,10810,108,10,1,,收支餘絀,-28886775,7515392
201,10811,108,11,1,410101,公庫撥入數,66884340,916224452
201,10811,108,11,1,4103,罰款及賠償收入,0,51064
201,10811,108,11,1,4104,規費收入,0,226
201,10811,108,11,1,4105,財產收入,141503,2768968
201,10811,108,11,1,4108,其他收入,34554,294775
201,10811,108,11,1,510101,繳付公庫數,176057,3765033
201,10811,108,11,1,5102,人事支出,50889575,681230637
201,10811,108,11,1,5103,業務支出,15202470,202152322
201,10811,108,11,1,5104,設備及投資支出,1780828,24582134
201,10811,108,11,1,5105,獎補助支出,0,1082500
201,10811,108,11,1,,收支餘絀,-988533,6526859
201,10812,108,12,1,410101,公庫撥入數,132048555,1048273007
201,10812,108,12,1,4103,罰款及賠償收入,1580,52644
201,10812,108,12,1,4104,規費收入,0,226
201,10812,108,12,1,4105,財產收入,112273,2881241
201,10812,108,12,1,4108,其他收入,116065,410840
201,10812,108,12,1,510101,繳付公庫數,229918,3994951
201,10812,108,12,1,5102,人事支出,42224856,723455493
201,10812,108,12,1,5103,業務支出,82693165,284845487
201,10812,108,12,1,5104,設備及投資支出,14262393,38844527
201,10812,108,12,1,5105,獎補助支出,45000,1127500
201,10812,108,12,1,,收支餘絀,-7176859,-650000
201,10901,109,01,1,410101,公庫撥入數,199315388,199315388
201,10901,109,01,1,4105,財產收益,1463467,1463467
201,10901,109,01,1,4108,其他收入,11858,11858
201,10901,109,01,1,510101,繳付公庫數,1475325,1475325
201,10901,109,01,1,5102,人事支出,154686767,154686767
201,10901,109,01,1,5103,業務支出,9237544,9237544
201,10901,109,01,1,5104,獎補助支出,362000,362000
201,10901,109,01,1,5105,財產損失,2023,2023
201,10901,109,01,1,5108,折舊、折耗及攤銷,3675531,3675531
201,10901,109,01,1,,收支餘絀,31351523,31351523
201,105,105,12,收入,0,"1,109,252,508"
201,105,105,12,公庫撥入數,"1,106,845,450",0
201,105,105,12,罰款及賠償收入,"7,238",0
201,105,105,12,規費收入,"96,024",0
201,105,105,12,財產收入,"1,719,696",0
201,105,105,12,其他收入,"584,100",0
201,105,105,12,支出,0,"1,096,553,792"
201,105,105,12,繳付公庫數,"2,533,241",0
201,105,105,12,人事支出,"754,211,328",0
201,105,105,12,業務支出,"286,910,720",0
201,105,105,12,設備及投資支出,"50,026,303",0
201,105,105,12,獎補助支出,"2,872,200",0
201,105,105,12,收支餘絀,0,"12,698,716"
240,10505,105,05,1,410101,公庫撥入數,726524057,5979735794
240,10505,105,05,1,4103,罰款及賠償收入,1601629,3861746
240,10505,105,05,1,4104,規費收入,1452835,4919919
240,10505,105,05,1,4105,財產收入,24544,1393236
240,10505,105,05,1,4108,其他收入,10503121,48208711
240,10505,105,05,1,510101,繳付公庫數,13582129,58390079
240,10505,105,05,1,5102,人事支出,165047910,1245125686
240,10505,105,05,1,5103,業務支出,349572006,1687364665
240,10505,105,05,1,5104,設備及投資支出,75211149,1972164755
240,10505,105,05,1,5105,獎補助支出,29828611,605892269
240,10505,105,05,1,,收支餘絀,106864381,469181952
240,10506,105,06,1,410101,公庫撥入數,726280766,6706016560
240,10506,105,06,1,4103,罰款及賠償收入,13881545,17743291
240,10506,105,06,1,4104,規費收入,578080,5497999
240,10506,105,06,1,4105,財產收入,88715,1481951
240,10506,105,06,1,4108,其他收入,7021133,55229844
240,10506,105,06,1,510101,繳付公庫數,21569473,79959552
240,10506,105,06,1,5102,人事支出,162676226,1407801912
240,10506,105,06,1,5103,業務支出,355139954,2042504619
240,10506,105,06,1,5104,設備及投資支出,75186465,2047351220
240,10506,105,06,1,5105,獎補助支出,30282362,636174631
240,10506,105,06,1,,收支餘絀,102995759,572177711
240,10507,105,07,1,410101,公庫撥入數,2436866700,9142883260
240,10507,105,07,1,4103,罰款及賠償收入,25510,17768801
240,10507,105,07,1,4104,規費收入,936415,6434414
240,10507,105,07,1,4105,財產收入,884428,2366379
240,10507,105,07,1,4108,其他收入,7488106,62717950
240,10507,105,07,1,510101,繳付公庫數,9344020,89303572
240,10507,105,07,1,5102,人事支出,248236276,1656038188
