id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,分計畫編號,分計畫名稱,經常支出_人事費,經常支出_業務費,經常支出_獎補助費,經常支出_債務費,經常支出_小計,資本資出_業務費,資本資出_設備及投資,資本資出_獎補助費,資本資出_小計,合計,備註
240,110,110,,,,1,5202402010-6,數理科學研究,,,0,4710200,0,0,4710200,0,53621730,0,53621730,58331930,
240,110,110,,,,2,5202402020-0,生命科學研究,,,0,27344000,0,0,27344000,0,94142444,0,94142444,121486444,
240,110,110,,,,3,5202402030-3,"人文及社會科學
研究",,,0,3415095,0,0,3415095,0,10166243,0,10166243,13581338,
240,110,110,,,4,,5202404000-3,南部院區,,,0,0,0,0,0,0,425462571,0,425462571,425462571,
240,110,110,,,,,,保留數,,,0,76923629,9828539,0,86752168,0,794012925,0,794012925,880765093,
240,110,110,,,,,,合計,,,2612714916,5670198252,1432413432,0,9715326600,0,2342880310,0,2342880310,12058206910,
240,111,111,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
240,111,111,,5,,,0002400000-9,中央研究院,,,2649436314,5696863057,1310144431,0,9656443802,0,1773549547,0,1773549547,11429993349,
240,111,111,,,1,,5202400100-6,一般行政,,,210487717,45233035,364000,0,256084752,0,1297170,0,1297170,257381922,
240,111,111,,,2,,5202401000-7,"一般學術研究及評
議",,,2438948597,2399340961,312892176,0,5151181734,0,528890091,0,528890091,5680071825,
240,111,111,,,,1,5202401010-0,人力資源,,,2438948597,0,57127194,0,2496075791,0,0,0,0,2496075791,
240,111,111,,,,2,5202401020-4,"學術研究與人才
培育",,,0,2399340961,255764982,0,2655105943,0,528890091,0,528890091,3183996034,
240,111,111,,,3,,5202402000-2,"自然及人文社會科
學研究",,,0,3160138720,114185955,0,3274324675,0,689655391,0,689655391,3963980066,
240,111,111,,,,1,5202402010-6,數理科學研究,,,0,1085173975,39260510,0,1124434485,0,286135873,0,286135873,1410570358,
240,111,111,,,,2,5202402020-0,生命科學研究,,,0,1418398447,55709544,0,1474107991,0,249662690,0,249662690,1723770681,
240,111,111,,,,3,5202402030-3,"人文及社會科學
研究",,,0,656566298,19215901,0,675782199,0,153856828,0,153856828,829639027,
240,111,111,,,4,,5202404000-3,南部院區,,,0,92150341,992300,0,93142641,0,142247170,0,142247170,235389811,
240,111,111,,,5,,5202405000-9,非營業特種基金,,,0,0,881710000,0,881710000,0,406685000,0,406685000,1288395000,
